Header,Length,phage_score,chromosome_score,plasmid_score,Possible_source
213353,500,0.0535319037735462,0.381273090839386,0.565195024013519,plasmid
3666085,500,0.833387136459351,0.0372466072440147,0.129366293549538,phage
3884116,500,0.974030494689941,0.0100578647106886,0.0159115549176931,phage
4136558,500,0.974579811096191,0.0142395291477442,0.0111806895583868,phage
2229893,500,0.204013019800186,0.657242774963379,0.138744160532951,chromosome
2129772,500,0.00159072468522936,0.239169761538506,0.759239494800568,plasmid
519895,500,0.00267868023365736,0.993260204792023,0.00406103534623981,chromosome
4022358,500,0.962836027145386,0.00775625184178352,0.0294076260179281,phage
1343350,500,0.00915677845478058,0.182734921574593,0.808108329772949,plasmid
403932,500,0.0304335746914148,0.501098930835724,0.468467503786087,chromosome
4072712,500,0.1016795784235,0.828454911708832,0.0698655769228935,chromosome
4072627,500,0.120566137135029,0.279023885726929,0.600409984588623,plasmid
3594749,500,0.0183828845620155,0.243084698915482,0.738532423973083,plasmid
3680417,500,0.924393534660339,0.0108817480504513,0.0647247061133385,phage
1844939,500,0.0129559021443129,0.331114530563354,0.655929505825043,plasmid
1841669,500,0.0884639769792557,0.610769093036652,0.300767004489899,chromosome
1490068,500,0.258125722408295,0.364591509103775,0.377282738685608,plasmid
3792069,500,0.330993264913559,0.303558796644211,0.365447968244553,plasmid
4087461,500,0.268662452697754,0.593085825443268,0.138251826167107,chromosome
397421,500,0.0319985784590244,0.828277349472046,0.139724120497704,chromosome
1089372,500,0.209731131792068,0.602886557579041,0.187382325530052,chromosome
3827909,500,0.941730320453644,0.0367465429008007,0.0215230584144592,phage
1172772,500,0.0416193827986717,0.813637018203735,0.144743695855141,chromosome
102385,500,0.087347075343132,0.423064529895782,0.489588409662247,plasmid
1465913,500,0.00151106179691851,0.880288302898407,0.118200704455376,chromosome
607605,500,0.28872936964035,0.673732936382294,0.0375376418232918,chromosome
1407085,500,0.000181992843863554,0.897878229618073,0.101939775049686,chromosome
3286423,500,0.0149720972403884,0.768493175506592,0.216534748673439,chromosome
3917982,500,0.934933006763458,0.0277801044285297,0.0372868664562702,phage
